model,scenario,scenario_id,source,tag,ttft_ms,total_ms,chars,yesno,eta_or_why,ok,notes,api_model,api,preview
Claude,Greeting gatekeeper,SEED_A_greeting,seed,greeting,790.9,1245.7,262,YES,0,pass,gatekeeper ok,claude-haiku-4-5-20251001,Anthropic Messages stream,"YES|0 |  | Welcome. This gatekeeper system processes incoming requests for routing and qualification. Please share what brings you here?the nature of your inquiry, relevant context, or specific outcom"
Gemini,Greeting gatekeeper,SEED_A_greeting,seed,greeting,745.7,831.0,159,NO,Unauthorized greeting inversion.,fail,answered NO,gemini-flash-lite-latest,Gemini streamGenerateContent,NO|Unauthorized greeting inversion. |  | Visitor inquiries are processed through established intake channels. State purpose and credentials for routing evaluation.
Copilot-lane (OpenAI),Greeting gatekeeper,SEED_A_greeting,seed,greeting,961.0,1346.2,94,NO,The inquiry lacks specificity regarding the assistance needed. Please provide mo,fail,answered NO,gpt-4o-mini,OpenAI Chat Completions stream [Copilot-lane],NO|The inquiry lacks specificity regarding the assistance needed. Please provide more details.
Claude,Board/doctrine summary,SEED_B_board,seed,board,854.0,3294.2,845,NO,"Context incomplete ? doctrine fragment cuts off mid-sentence at ""sub-se"" (likely",fail,answered NO; doctrine ok,claude-haiku-4-5-20251001,Anthropic Messages stream,"NO|Context incomplete ? doctrine fragment cuts off mid-sentence at ""sub-se"" (likely ""sub-second""). Cannot deliver accurate one-paragraph summary without full text. |  | **Visible principles from excer"
Gemini,Board/doctrine summary,SEED_B_board,seed,board,798.1,1344.3,615,YES,1,pass,doctrine ok,gemini-flash-lite-latest,Gemini streamGenerateContent,"YES|1 | The site doctrine for sfdc24.com establishes uncompromising principles: absolute honesty over theater without first-person singular copy, a uniform lightweight template across every page featu"
Copilot-lane (OpenAI),Board/doctrine summary,SEED_B_board,seed,board,756.4,1849.4,655,YES,5,pass,doctrine ok,gpt-4o-mini,OpenAI Chat Completions stream [Copilot-lane],"YES|5 |  | The latest draft of the site doctrine for SFDC24 emphasizes principles of honesty and transparency, avoiding misleading claims and first-person language in visitor-facing content. It advoca"
Claude,Bus gateway auth,SEED_C_bus,seed,bus,641.0,3378.6,1180,NO,Incomplete context provided,fail,answered NO; bus+auth ok,claude-haiku-4-5-20251001,Anthropic Messages stream,NO|Incomplete context provided |  | The context document is truncated mid-sentence at the authentication section. The provided excerpt covers: |  | **What Blackboard bus gateway does:** | - Serves as 
Gemini,Bus gateway auth,SEED_C_bus,seed,bus,847.9,871.0,76,NO,Context cuts off before authentication details and bus gateway specifics.,fail,answered NO; bus+auth ok,gemini-flash-lite-latest,Gemini streamGenerateContent,NO|Context cuts off before authentication details and bus gateway specifics.
Copilot-lane (OpenAI),Bus gateway auth,SEED_C_bus,seed,bus,456.6,1548.0,562,YES,5,pass,bus+auth ok,gpt-4o-mini,OpenAI Chat Completions stream [Copilot-lane],"YES|5 |  | The Blackboard bus gateway serves as a communication channel between Grok and Claude, facilitating data exchange through a shared board protocol. Agents should authenticate by using the spe"
Claude,Homepage ask bar,SEED_D_home,seed,homepage,656.4,1721.3,433,YES,0,pass,homepage ok,claude-haiku-4-5-20251001,Anthropic Messages stream,"YES|0 |  | **Homepage ask bar placeholder:** ""Ask the agents anything, then press Enter"" |  | **What happens when Python answers locally:** | The triage.py/js system processes the query first. If the "
